"","event.id","predicted","Pc","UO","original","correct"
"1","LL003FR07_1","UO",0.419,0.581,"X",FALSE
"2","LL003FR07_2","UO",0.3526,0.6474,"X",FALSE
"3","LL003FR07_3","UO",0.1515,0.8485,"UO",TRUE
"4","LL003FR07_4","UO",0.0521,0.9479,"UO",TRUE
"5","LL003FR07_5","UO",0.112,0.888,"UO",TRUE
"6","LL003FR07_6","UO",0.2517,0.7483,"UO",TRUE
"7","LL003FR07_7","UO",0.1257,0.8743,"UO",TRUE
"8","LL003FR07_8","UO",0.0451,0.9549,"UO",TRUE
"9","LL003FR07_9","UO",0.076,0.924,"UO",TRUE
"10","LL003FR07_10","UO",0.1793,0.8207,"UO",TRUE
"11","LL003FR07_11","UO",0.0885,0.9115,"UO",TRUE
"12","LL003FR07_12","UO",0.1441,0.8559,"UO",TRUE
"13","LL003FR07_13","UO",0.4817,0.5183,"X",FALSE
"14","LL003FR07_14","UO",0.2673,0.7327,"UO",TRUE
"15","LL003FR10_1","UO",0.1933,0.8067,"X",FALSE
"16","LL003FR10_2","UO",0.0897,0.9103,"UO",TRUE
"17","LL003FR10_3","UO",0.18,0.82,"X",FALSE
"18","LL003FR10_4","UO",0.1226,0.8774,"UO",TRUE
"19","LL003FR10_5","Pc",0.5442,0.4558,"X",FALSE
"20","LL003FR10_6","UO",0.0826,0.9174,"UO",TRUE
"21","LL004FR04_1","UO",0.4393,0.5607,"UO",TRUE
"22","LL004FR04_2","UO",0.1674,0.8326,"UO",TRUE
"23","LL004FR04_3","UO",0.0827,0.9173,"UO",TRUE
"24","LL004_FR10_1","Pc",0.631,0.369,"Pc",TRUE
"25","LL004_FR10_2","UO",0.1015,0.8985,"Pm",FALSE
"26","LL004_FR10_3","UO",0.0642,0.9358,"X",FALSE
"27","LL005FR3_2","UO",0.1224,0.8776,"UO",TRUE
"28","LL005FR3_3","UO",0.0605,0.9395,"UO",TRUE
"29","LL005FR3_5","UO",0.0585,0.9415,"UO",TRUE
"30","LL005FR3_6","UO",0.0573,0.9427,"UO",TRUE
"31","LL005FR4_1","UO",0.2038,0.7962,"UO",TRUE
