"","start","end","species","id","notes"
"1","6/2/2021 23:04","6/2/2021 23:15","UO","LL060_FR38_DL65_01",""
"2","6/3/2021 0:08","6/3/2021 0:12","UO","LL060_FR38_DL65_02",""
"3","6/4/2021 4:42","6/4/2021 5:10","UO","LL060_FR38_DL65_03",""
"4","6/4/2021 5:50","6/4/2021 6:24","UO","LL060_FR38_DL65_04",""
"5","6/4/2021 7:00","6/4/2021 7:59","UO","LL060_FR38_DL65_05",""
"6","6/5/2021 4:06","6/5/2021 4:37","UO","LL060_FR38_DL65_06",""
"7","6/5/2021 7:23","6/5/2021 8:17","UO","LL060_FR38_DL65_07",""
"8","6/5/2021 10:21","6/5/2021 10:32","UO","LL060_FR38_DL65_08",""
"9","6/5/2021 12:35","6/5/2021 13:08","UO","LL060_FR38_DL65_09",""
"10","6/5/2021 14:03","6/5/2021 14:17","UO","LL060_FR38_DL65_10",""
"11","6/7/2021 6:31","6/7/2021 6:48","UO","LL060_FR38_DL65_11","BW, likely Md"
"12","6/7/2021 9:27","6/7/2021 10:25","UO","LL060_FR38_DL65_12","also sperm whales mixed in"
"13","6/8/2021 9:27","6/8/2021 9:42","UO","LL060_FR38_DL65_13",""
"14","6/8/2021 11:47","6/8/2021 12:04","UO","LL060_FR38_DL65_14","BW"
"15","6/3/2021 4:04","6/3/2021 4:56","UO","LL060_FR45_DL84_1","sperm whales also mixed in"
"16","6/3/2021 5:16","6/3/2021 6:05","UO","LL060_FR45_DL84_2",""
"17","6/3/2021 9:19","6/3/2021 9:56","UO","LL060_FR45_DL84_3",""
"18","6/3/2021 22:26","6/3/2021 22:50","UO","LL060_FR45_DL84_4",""
"19","6/4/2021 7:16","6/4/2021 7:57","UO","LL060_FR45_DL84_5",""
"20","6/5/2021 9:16","6/5/2021 9:27","UO","LL060_FR45_DL84_6",""
"21","6/6/2021 21:18","6/6/2021 21:20","UO","LL060_FR45_DL84_7",""
