"","trip","id","species","start","stop","notes"
"1","LL014_FR06_DL65","14_1","UO",2014-09-25 03:21:00,2014-09-25 03:46:00,""
"2","LL014_FR06_DL65","14_2","Pc",2014-09-25 13:22:00,2014-09-25 14:18:00,""
"3","LL017_FR03_DL65","LL017FR3_1_1","Pc",2015-01-17 17:15:00,2015-01-17 17:31:00,"Pc"
"4","LL017_FR03_DL65","LL017FR3_1_2","Pc",2015-01-17 17:52:00,2015-01-17 18:20:00,"Pc"
"5","LL017_FR03_DL65","LL017FR3_2","X",2015-01-17 22:06:00,2015-01-17 22:13:00,"whistles only"
"6","LL017_FR03_DL65","LL017FR3_3","X",2015-01-17 23:06:00,2015-01-17 23:11:00,"whistles only"
"7","LL027_FR07_DL63","27_1","X",2015-09-23 11:25:00,2015-09-23 12:17:00,"Looks like there are possible bands at 14 and 19 kHz"
"8","LL027_FR07_DL63","27_2","UO",2015-09-25 10:39:00,2015-09-25 10:48:00,"faint, but with whistles and clicks"
"9","LL027_FR07_DL63","27_3","Pm",2015-09-25 20:14:00,2015-09-25 22:43:00,""
"10","LL039_FR04_DL64","39_01","Pm",2017-03-13 19:20:00,2017-03-13 19:55:00,""
"11","LL039_FR04_DL64","39_02","Pm",2017-03-13 20:17:00,2017-03-13 21:36:00,""
"12","LL039_FR04_DL64","39_03","UO",2017-03-13 23:30:00,2017-03-14 00:14:00,""
"13","LL039_FR04_DL64","39_04","UO",2017-03-15 20:55:00,2017-03-15 21:19:00,""
"14","LL039_FR04_DL64","39_05","UO",2017-03-15 21:57:00,2017-03-15 22:00:00,""
"15","LL039_FR04_DL64","39_06","X",2017-03-15 22:43:00,2017-03-15 23:35:00,"possibly mixed?"
"16","LL039_FR04_DL64","39_07","UO",2017-03-16 08:46:00,2017-03-16 08:54:00,""
"17","LL039_FR04_DL64","39_08","UO",2017-03-16 23:01:00,2017-03-16 23:21:00,""
"18","LL039_FR04_DL64","39_09","Pc",2017-03-17 00:31:00,2017-03-17 01:41:00,""
"19","LL039_FR04_DL64","39_10","Kspp",2017-03-18 10:45:00,2017-03-18 10:49:00,""
"20","LL039_FR04_DL64","39_11","UO",2017-03-18 22:53:00,2017-03-18 23:22:00,""
"21","LL039_FR04_DL64","39_12","UO",2017-03-19 01:45:00,2017-03-19 01:57:00,""
"22","LL039_FR04_DL64","39_13","UO",2017-03-19 15:09:00,2017-03-19 15:17:00,""
"23","LL039_FR04_DL64","39_14","UO",2017-03-20 20:06:00,2017-03-20 20:32:00,""
"24","LL039_FR04_DL64","39_15","X",2017-03-22 03:12:00,2017-03-22 04:57:00,""
"25","LL041_FR04_DL64","41_1","X",2017-05-12 07:34:00,2017-05-12 08:05:00,""
"26","LL041_FR04_DL64","41_2","X",2017-05-12 18:01:00,2017-05-12 18:16:00,""
"27","LL041_FR04_DL64","41_3","Pc",2017-05-12 18:51:00,2017-05-12 21:06:00,""
"28","LL041_FR04_DL64","41_4","X",2017-05-13 02:05:00,2017-05-13 03:06:00,"Pc at beginning, but mixed species toward end? "
"29","LL041_FR04_DL64","41_5","UO",2017-05-16 06:22:00,2017-05-16 06:42:00,""
"30","LL041_FR04_DL64","41_6","UO",2017-05-16 22:15:00,2017-05-16 22:33:00,""
