"","mission","id","species","start","stop","notes"
"1","sg639_MHI_Apr2022","sg639_MHI_Apr2022.sg639_01","UO",2022-04-05 20:00:56,2022-04-05 20:05:31,"NA"
"2","sg639_MHI_Apr2022","sg639_MHI_Apr2022.sg639_02","UO",2022-04-06 02:48:24,2022-04-06 03:06:04,"NA"
"3","sg639_MHI_Apr2022","sg639_MHI_Apr2022.sg639_03","UO",2022-04-07 02:49:36,2022-04-07 02:50:46,"NA"
"4","sg639_MHI_Apr2022","sg639_MHI_Apr2022.sg639_04","UO",2022-04-07 07:55:47,2022-04-07 08:49:23,"NA"
"5","sg639_MHI_Apr2022","sg639_MHI_Apr2022.sg639_05","UO",2022-04-07 14:01:51,2022-04-07 14:04:56,"NA"
"6","sg639_MHI_Apr2022","sg639_MHI_Apr2022.sg639_06","UO",2022-04-08 08:42:01,2022-04-08 09:22:38,"NA"
"7","sg639_MHI_Apr2022","sg639_MHI_Apr2022.sg639_07","UO",2022-04-09 05:58:03,2022-04-09 06:23:20,"NA"
"8","sg639_MHI_Apr2022","sg639_MHI_Apr2022.sg639_09","UO",2022-04-11 15:48:17,2022-04-11 15:59:43,"NA"
"9","sg639_MHI_Apr2022","sg639_MHI_Apr2022.sg639_10","UO",2022-04-12 06:15:36,2022-04-12 06:57:25,"NA"
"10","sg639_MHI_Apr2022","sg639_MHI_Apr2022.sg639_11","UO",2022-04-12 13:06:50,2022-04-12 15:20:59,"NA"
"11","sg639_MHI_Apr2022","sg639_MHI_Apr2022.sg639_12","UO",2022-04-12 17:50:00,2022-04-12 18:17:04,"NA"
"12","sg639_MHI_Apr2022","sg639_MHI_Apr2022.sg639_13","UO",2022-04-15 14:11:53,2022-04-15 15:03:22,"NA"
"13","sg639_MHI_Apr2022","sg639_MHI_Apr2022.sg639_14","UO",2022-04-16 00:59:54,2022-04-16 01:07:34,"NA"
"14","sg639_MHI_Apr2022","sg639_MHI_Apr2022.sg639_15","UO",2022-04-19 12:08:53,2022-04-19 13:07:56,"NA"
"15","sg639_MHI_Apr2022","sg639_MHI_Apr2022.sg639_16","UO",2022-04-20 22:53:11,2022-04-21 00:48:41,"NA"
"16","sg639_MHI_Apr2022","sg639_MHI_Apr2022.sg639_17","UO",2022-04-21 20:20:32,2022-04-21 21:06:00,"NA"
"17","sg639_MHI_Apr2022","sg639_MHI_Apr2022.sg639_19","UO",2022-04-22 03:36:07,2022-04-22 03:43:07,"NA"
"18","sg639_MHI_Apr2022","sg639_MHI_Apr2022.sg639_20","UO",2022-04-22 05:54:06,2022-04-22 06:04:03,"NA"
